nome,categoria,preco,preco_original,preco_pix,parcelamento,descricao,imagem_url,link_produto,notas_topo,notas_coracao,notas_fundo,inspiracao,volume,desconto,top_3_comentarios
Meteorite Overdose Perfume inspirado em Uden Overdose Xerjoff Compartilhável,compartilhaveis,"R$128,15",,"R$170,90","6x de R$29,98","Uma explosão refrescante e envolvente que se transforma em calor e elegância. É um perfume que reflete confiança e magnetismo, perfeito para quem busca sofisticação com um toque ousado.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6902c114613e8/22-6902d57a2e92b_mini.png,https://www.jaessencedelavie.com.br/meteorite-overdose-perfume-inspirado-em-uden-overdose-xerjoff-compartilhavel/,,,"Âmbar, Almíscar, Cedro",Uden Overdose Xerjoff,100ml,-5%,"[{""data"": ""03/02/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""MagníficoKatia Martins"", ""verificado"": true}, {""data"": ""30/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""MAURICIO ARTUR"", ""verificado"": true}, {""data"": ""20/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Experimentei esse perfume na casa de um amigo e fiquei apaixonado.Esse cítrico na saída é maravilhoso mas o que mais me fez ficar maluco com o perfume foi na secagem.A secagem é SACANAGEM de BOM.Tomei banho e ainda sentia o perfume na pele,surreal.Fixação = altaProjeção = altaTipo de perfume diferen"", ""verificado"": true}]"
Japan Perfume inspirado em Sakura Dior Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Uma fragrância calma e harmoniosa, ideal para o dia a dia ou momentos de introspecção. Sua leveza transmite serenidade e sofisticação natural.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6902c11394d12/17-6902d55f93a7f_mini.png,https://www.jaessencedelavie.com.br/japan-perfume-inspirado-em-sakura-dior-compartilhavel/,"Flor de Cerejeira, Bergamota","Rosa, Jasmim, Violeta","Almíscar Branco, Íris",Sakura Dior,100ml,-19%,"[{""data"": ""27/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""DeliciosoCarla Cristina"", ""verificado"": true}, {""data"": ""26/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Aroma floral delicado. Perfeito para a esposa, namorada, filha.Francisco Clednei"", ""verificado"": true}, {""data"": ""03/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""KATIA GONCALVES"", ""verificado"": true}]"
Lilies Perfume inspirado em Lucky Dior Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Delicado, limpo e sofisticado. Ideal para o dia a dia, escritório e ocasiões em que você quer exalar refinamento sem exagero.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6902c112b3958/12-6902d54061d7b_mini.png,https://www.jaessencedelavie.com.br/lilies-perfume-inspirado-em-lucky-dior-compartilhavel/,,,Almíscar Branco,Lucky Dior,100ml,-19%,"[{""data"": ""02/02/2026"", ""autor"": ""Luciano Antônio"", ""comentario"": ""Luciano Antônio"", ""verificado"": true}, {""data"": ""27/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Muito bomCarla Cristina"", ""verificado"": true}, {""data"": ""09/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Não conhecia o perfume, comprei e adorei! Gosto muito dos perfumes da JA.Obrigada pelo brinde que veio junto com os perfumes.☺️Fernanda Aparecida"", ""verificado"": true}]"
Real Vanilla Perfume inspirado em Vanilla Diorama Dior Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Conforto elegante do início ao fim. Perfeito para noites especiais, encontros e dias frios em que você quer um abraço olfativo sofisticado.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6902c111d22b8/7-6902d4dec8865_mini.png,https://www.jaessencedelavie.com.br/real-vanilla-perfume-inspirado-em-vanilla-diorama-dior-compartilhavel/,,,"Patchouli, Sândalo",Vanilla Diorama Dior,100ml,-5%,"[{""data"": ""24/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Obrigada JA por nos proporcionar compras de perfumes maravilhosos. Vcs nunca decepcionam.CINTHIA RAMOS"", ""verificado"": true}, {""data"": ""17/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Baunilha evoluída e madura. Fixa muito. Tenho o original e to chocado como é próximo e bom! ParabénsALEXANDRE TOLENTINO"", ""verificado"": true}, {""data"": ""15/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Muito bom , um doce bem chamativo pra noite e encontros há dóis. Bem sensual.welderson wagner"", ""verificado"": true}]"
Happy Perfume inspirado em Oud for Happiness Initio Parfums Privés Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Com uma aura envolvente e relaxante, esta fragrância é um convite à alegria e à harmonia interior. O contraste entre o doce, o amadeirado e o especiado cria uma experiência sofisticada, perfeita para quem busca exclusividade e presença marcante.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6902be1d1e2b5/27-6902d4951a821_mini.png,https://www.jaessencedelavie.com.br/happy-perfume-inspirado-em-oud-for-happiness-initio-parfums-prives-compartilhavel/,,"Alcaçuz, Cedro","Baunilha, Oud, Almíscar",Oud for Happiness Initio Parfums Privés,100ml,-19%,"[{""data"": ""03/02/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Fora do radarKatia Martins"", ""verificado"": true}, {""data"": ""23/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Perfume maravilhoso, marcante! Boa fixação e projeção. Recomendo!Luiz Leduino"", ""verificado"": true}, {""data"": ""06/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Recebi hoje o produto, pude experimentar uma borrifada mas, por esse borrifada , já pude ter idéia da qualidade do perfume, assim como todos que já tenho da casa ja essence , tomara que refresque kkkk para usar de verdade essa maravilha. Ótimo, mais uma jóia da casa .José Henrique"", ""verificado"": true}]"
Purp Perfume inspirado em Purpose Amouage Compartilhável - 100ML,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Um perfume sofisticado e contemplativo, que transmite autoconfiança e profundidade. Suas nuances amadeiradas e especiadas criam uma atmosfera elegante e meditativa. Ideal para quem busca uma fragrância compartilhável, com assinatura olfativa distinta e uma presença magnética, perfeita para momentos de introspecção ou expressão autêntica.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/68f3efbb68b01/fotos-mau-2-3-69014169adb90_mini.png,https://www.jaessencedelavie.com.br/purp-perfume-inspirado-em-purpose-amouage-compartilhavel/,,,"Sândalo, Akigalawood, Almíscar",Purpose Amouage,100ml,-5%,"[{""data"": ""12/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Perfeito demais pra ser verdade.Bruno mellone"", ""verificado"": true}, {""data"": ""26/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Fragrância fora da curva. Com certeza não usar se destacará dos demais ambientes.Francisco Clednei"", ""verificado"": true}, {""data"": ""27/11/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Atendimento ímpar, entrega rápida, produtos com qualidade diferenciada, fragrâncias exclusivas......tudo isso no preço normal já é bom, e com a promoção Black Friday..... perfeição!!!!Posso falar isso com conhecimento de causa, pois sou colecionador dos perfumes J.A.Parabéns J.A Essence de Lá Vie👏🏻👏"", ""verificado"": true}]"
Universo Forte - Perfume inspirado em Aqua Universalis Cologne Forte Maison Francis Kurkdjian - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Uma fragrância fresca e sofisticada, ideal para climas quentes, uso diário e ocasiões em que você quer transmitir leveza, limpeza e refinamento.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/68c4439d28375/fotos-mau-1-1-69013fa1bd6e0_mini.jpg,https://www.jaessencedelavie.com.br/universo-forte-perfume-inspirado-em-aqua-universalis-cologne-forte-maison-francis-kurkdjian-compartilhavel-68c443f820e73/,"Bergamota da Calábria, Limão",,"Almíscares brancos, Nuances atalcadas",Aqua Universalis Cologne Forte Maison Francis Kurkdjian,100ml,-5%,"[{""data"": ""24/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Obrigada JA por nos proporcionar compras de perfumes maravilhosos. Vcs nunca decepcionam.CINTHIA RAMOS"", ""verificado"": true}, {""data"": ""12/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""CARLOS EDUARDO"", ""verificado"": true}, {""data"": ""01/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Essa fragrância é espetacular, eu diria que é um combo de cítricos com um toque sutil de limpeza, uma sensação de luxo e riqueza.Lembra 98% o original.Um perfume extremamente exclusivo para o verão.Parabéns JA Essence!!James Francisco"", ""verificado"": true}]"
Tabac - Inspirado em Montabaco Ormonde Jayne - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Impactante desde o primeiro spray, Tabac é ideal para ocasiões noturnas, eventos marcantes ou para quem quer se destacar com uma presença envolvente e misteriosa.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/688fbbf743b79/fotos-mau-2-2-69014070badef_mini.jpg,https://www.jaessencedelavie.com.br/tabac-inspirado-em-montabaco-ormonde-jayne/,,,"Folha de Tabaco, Iso E, Camurça, Sândalo, Musgo, Tonka, Âmbar Cinzento",Montabaco Ormonde Jayne,100ml,-19%,"[{""data"": ""26/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Elegância em aroma.Francisco Clednei"", ""verificado"": true}, {""data"": ""22/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Abre com um tabaco bem forte que até assusta, mas a secagem dele é outro patamar, praticamente o tabaco começa sumir e dar espaço pra algo mais fresco, comprei decant pois nao gosto da nota de tabaco, mas o jeito que ela é trabalhada aqui é bem difernete então curti e ja to pegando o de 100, elegant"", ""verificado"": true}, {""data"": ""09/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Obra Prima da casa. Melhor de todosjoao alexandre"", ""verificado"": true}]"
Habana - Inspirado em Habana 500 Renier Perfumes,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Perfeito para o dia, climas quentes ou momentos descontraídos. Habana traz a sensação de liberdade e alegria, como um passeio pelas ruas de Havana em um carro conversível.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/688fbbe5e1df0/fotos-mau-2-1-69014082c92a5_mini.jpg,https://www.jaessencedelavie.com.br/habana-inspirado-em-habana-500-renier-perfumes/,,"Couro, Café, Leite, Cedro, Âmbar","Almíscar, Sândalo, Âmbar Cinzento",Habana 500 Renier Perfumes,100ml,-19%,"[{""data"": ""05/02/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Produto muito bomGilson Zancanaro"", ""verificado"": true}, {""data"": ""28/01/2026"", ""autor"": ""Dalton Elias"", ""comentario"": ""Dalton Elias"", ""verificado"": true}, {""data"": ""09/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Excelente. Qualidade nichojoao alexandre"", ""verificado"": true}]"
Cactus - Inspirado em Cactus Garden Louis Vuitton - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Perfeito para dias quentes, passeios ao ar livre ou para quem busca um perfume leve mas cheio de personalidade.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/68649ba640288/e9dc1ac1e8aeb46a2c53221939ff9a34-68c45d1a43f22_mini.png,https://www.jaessencedelavie.com.br/cactus-inspirado-em-cactus-garden-louis-vuitton/,Mate,Bergamota,Lemongrass,Cactus Garden Louis Vuitton,100ml,-5%,"[{""data"": ""27/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Bom perfume, bem verde… lembra cheiro de shampoo, gostei.Rafael Cosme"", ""verificado"": true}, {""data"": ""12/01/2026"", ""autor"": ""Rafael Nascimento"", ""comentario"": ""Rafael Nascimento"", ""verificado"": true}, {""data"": ""12/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Tem mais de 5 estrelas? coloca 10! é um Perfume INCRIVELBruno mellone"", ""verificado"": true}]"
